hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
BC,NA,BC,NA,NA,NA,132,NA,NA,152,NA,NA,20,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,7.1,NA,NA,0.4,NA,NA,0.6,NA,NA,1,NA,NA,2.2,NA,NA,2.9,NA,NA,64.4,NA,NA,NA,NA,NA,NA,NA,25,28.5,32,NA,NA,NA,0,0.5,1,NA,NA,NA,1.35,1.4,1.45,NA,NA,NA,NA,1.6,NA,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,NA,30.8,NA,NA,16.6,NA,NA,44,NA,3,4.5,5.9,25,37.5,50,5,15,25,3,15,29,0.49,0.49,0,7,15,0,0,0,0,0,0,0,0,0,25,27.5,30,NA,NA,NA,NA,NA,NA,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088447,65224147
A,NA,A,NA,NA,NA,20,NA,NA,71,NA,NA,51,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,7,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.9,NA,NA,63.5,NA,NA,NA,NA,NA,NA,NA,27,29.5,32,NA,NA,NA,3,3.5,4,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,NA,1.52,NA,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,NA,32.8,NA,NA,19.8,NA,NA,45,NA,3,4.5,5.9,35,42.5,50,10,17.5,25,10,19,29,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,25,27.5,30,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088447,65224145
Bw,NA,B,NA,NA,NA,71,NA,NA,132,NA,NA,61,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,6.7,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,1.9,NA,NA,4.6,NA,NA,60.8,NA,NA,NA,NA,NA,NA,NA,30,32.5,35,NA,NA,NA,2,2.5,3,NA,NA,NA,1.35,1.4,1.45,NA,NA,NA,NA,1.6,NA,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,NA,33.6,NA,NA,21.2,NA,NA,43,NA,3,4.5,5.9,30,40,50,15,20,25,13,20,29,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,25,27.5,30,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088447,65224146
Ap,NA,A,NA,NA,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,7,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.9,NA,NA,63.5,NA,NA,NA,NA,NA,NA,NA,27,29.5,32,NA,NA,NA,4,4.5,5,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,NA,1.52,NA,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,NA,32.8,NA,NA,19.8,NA,NA,45,NA,3,4.5,5.9,35,42.5,50,10,17.5,25,10,19,29,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,25,27.5,30,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088447,65224144
Ap,NA,A,NA,NA,0,0,0,15,20,25,15,20,25,0,0,0,0,0,0,100,100,100,100,100,100,94,100,100,88,97,100,1,4,20,0,0,0.5,0,0,0.5,0,0.2,0.5,0.4,1.5,7.5,0.6,2.3,12,51,68,79,28,36,40,23,32,39,20,28,35,0,0,0,4,5,6,NA,NA,NA,1.29,1.31,1.33,NA,NA,NA,1.45,1.47,1.54,NA,1,3,10,0.15,0.17,0.19,NA,NA,NA,30,33.2,35.7,15.3,20.5,25.1,44,45,46,3,4.3,5.9,39,48,57,13,18,24,13,21,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,17.5,23.9,29.5,NA,NA,NA,13.4,22.7,29.4,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.3,6.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088448,65224148
A,NA,A,NA,NA,15,20,25,50,61,75,35,41,50,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,89,97,100,1,4,15,0,0,0.5,0,0,0.5,0,0.2,0.5,0.4,1.5,4.5,0.6,2.3,10,53,68,79,29,36,40,24,32,39,20,28,35,0,0,0,3,3.5,4,NA,NA,NA,1.23,1.28,1.33,NA,NA,NA,1.39,1.44,1.5,NA,1,3,10,0.15,0.17,0.19,NA,NA,NA,28.9,31.9,34.2,13.8,18.3,22.3,45,47,49,3,4.3,5.9,37,45,53,13,19,25,12,21,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,17.3,23.6,29,NA,NA,NA,13.6,21.9,28.4,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,2.9,6,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088448,65224149
Cg,NA,C,NA,NA,75,147,195,200,200,200,45,53,100,0,0,0,0,0,0,100,100,100,100,100,100,94,100,100,87,96,100,1,6,15,0,0,0.5,0,0,0.5,0,0.5,0.5,0.4,2.2,4.5,0.6,3.3,10,52,67,81,24,33,38,28,34,43,18,27,35,0,0,0,0.5,0.75,1,NA,NA,NA,1.36,1.37,1.37,NA,NA,NA,1.51,1.52,1.6,NA,1,3,10,0.18,0.2,0.22,NA,NA,NA,26.2,30.2,33.1,10.5,15.7,20.4,45,45,46,3,3.9,5.9,29,38,47,12,18,25,9,18,28,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0.2,2,14.7,21.5,27.5,NA,NA,NA,11.9,20.8,26.9,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,1.7,4.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088448,65224153
BCg,NA,BC,NA,NA,75,119,165,75,147,195,0,28,30,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,90,96,100,1,6,15,0,0,0.5,0,0,0.5,0,0.5,0.5,0.4,2.2,4.5,0.6,3.3,10,54,67,75,25,33,37,29,34,38,24,27,35,0,0,0,0.5,0.75,1,NA,NA,NA,1.25,1.33,1.41,NA,NA,NA,1.4,1.48,1.55,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,28.6,29.9,32.8,13.4,15.3,19.8,44,47,50,3,3.9,5.9,35,38,47,16,18,25,14,18,28,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0.2,2,19,21.5,27.5,NA,NA,NA,16.9,20.1,27.1,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,2.2,4.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088448,65224151
BA,NA,BA,NA,NA,50,61,75,50,81,100,0,20,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,91,97,100,1,4,15,0,0,0.5,0,0,0.5,0,0.2,0.5,0.4,1.5,4.5,0.6,2.3,10,54,67,75,28,35,37,26,32,38,24,29,35,0,0,0,3,3.5,4,NA,NA,NA,1.29,1.32,1.34,NA,NA,NA,1.46,1.49,1.55,NA,1,3,10,0.15,0.17,0.19,NA,NA,NA,30.6,32.6,34.6,16.3,19.4,23,45,45,47,3,4.5,5.9,40,46,53,16,20,25,16,22,30,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.2,2,20.4,24.4,29,NA,NA,NA,17.1,22.1,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.2,6.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088448,65224152
Bg,NA,B,NA,NA,50,81,100,75,119,165,25,38,65,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,91,97,100,1,5,15,0,0,0.5,0,0,0.5,0,0.3,0.5,0.4,1.9,4.5,0.6,2.8,10,52.5,64,72,25.5,34,38,27,30,34,27,31,35,0,0,0,1,2,3,NA,NA,NA,1.34,1.36,1.38,NA,NA,NA,1.53,1.55,1.59,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,30.4,32.5,34.4,15.9,19.2,22.5,44,45,46,3,4.9,5.9,39,45,51,19,22,25,18,24,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,21.7,25.3,28.7,NA,NA,NA,18.8,24.1,28.5,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,2.7,5.1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22088448,65224150
